cartodb_id,the_geom,field_1,uid,feature_name,address,city,state,side,category,group_class,secondary_class_for_internal_use,year_dedicated,school_percent_black,source,notes,latitude,longitude
66,0101000020E6100000D1E80E62679E55C079CE16105A3B4040,,29,Confederate Monument,Autauga County Courthouse.,Prattville,AL,South,Monument,Monument,,1908,,http://collections.si.edu/search/tag/tagDoc.htm?recordID=siris_ari_320522&hlterm=confederate,,32.463686,-86.47506
67,0101000020E61000002C802903079E55C0F0DB10E3353B4040,,30,Prattville Dragoons Memorial Monument (SCV),Prattville Primary School. Washington St. And E. Fourth St.,Prattville,AL,South,Monument,Monument,,2002,,http://theprattvilledragoons.blogspot.com/2015/04/prattville-dragoons-monuments.html,,32.462582,-86.469178
68,0101000020E6100000E0C1AAD532D555C0118C834BC7674140,,31,General Joseph Wheeler,4401 Mclean Drive,Rogersville,AL,South,Monument,Monument,,2006,,http://www.hmdb.org/marker.asp?marker=84295,,34.8107695,-87.3312277
69,0101000020E61000002504ABEAE5C055C047AB5AD251344040,,32,Selma Navy Yard Memorial,Water Ave. And Sylvan St.,Selma,AL,South,Monument,Monument,,1917,,http://www.lat34north.com/historicmarkersal/MarkerDetail.cfm?KeyID=24-63&MarkerTitle=Selma%20Navy%20Yard%20and%20Ordnance%20Works,,32.408747,-87.014033
70,0101000020E610000021BCE24E8EC155C0EFF08DD772364040,,33,Defense of Selma Memorial,Range St. And 4Th Ave,Selma,AL,South,Monument,Monument,,1907,,http://www.lat34north.com/historicmarkersal/MarkerDetail.cfm?KeyID=24-56&MarkerTitle=Defense%20of%20Selma%20Memorial,"
",32.4253797,-87.0243108
72,0101000020E6100000EB866D8B327E55C058E71890BDCE3F40,,34,"""Comrades"" Confederate Monument",Court Square,Troy,AL,South,Monument,Monument,,1908,,http://siris-artinventories.si.edu/ipac20/ipac.jsp?&profile=all&source=~!siartinventories&uri=full=3100001~!327325~!0#focus,,31.80758,-85.971835
73,0101000020E6100000FA25E2ADF3E255C086E5CFB7059B4040,,35,University of Alabama Civil War Memorial,University Of Alabama,Tuscaloosa,AL,South,Monument,Monument,,1914,,http://www.hmdb.org/marker.asp?marker=33654,,33.211112,-87.546123
74,0101000020E610000097AAB4C5356C55C02DFEB62748364040,,36,Tuskegee Confederate Monument,Town Square,Tuskegee,AL,South,Monument,Monument,,1906,,https://www.loc.gov/item/2010640065/,,32.424077,-85.690782
169,0101000020E610000031934D5E894A5DC01DC29DB0695B4040,,1,Jefferson Davis Highway,,San Diego,CA,North,Road / Street / Highway,Highway / Roadway,,,,,,32.7141629,-117.1646343
75,0101000020E61000007F880D164E9055C05737DE1D19EB4040,,37,Confederate Monument,St. Clair County Courthouse,Ashville,AL,South,Monument / Courthouse,Monument,Courthouse Grounds,1923,,http://capitolshots.com/courthouse-photos/alabama-courthouses/st-clair-county-courthouse-ashville/,,33.836704,-86.254766
76,0101000020E61000005B5B785E2ABE55C05C59A2B3CC664140,,38,Confederate Soldier Monument,Courthouse Square. Marion St. And Market St.,Athens,AL,South,Monument / Courthouse,Monument,Courthouse Grounds,1909,,http://collections.si.edu/search/tag/tagDoc.htm?recordID=siris_ari_316614&hlterm=confederate,Discussion on petition to not move the monument: http://whnt.com/2015/07/18/rally-for-confederate-monument-at-courthouse-square/,34.803122,-86.971336
77,0101000020E6100000E71725E82F0E56C029CFBC1C760B4040,,39,Confederate Monument,Choctaw County Courthouse,Butler,AL,South,Monument / Courthouse,Monument,Courthouse Grounds,1937,,http://www.ruralswalabama.org/attraction/choctaw-county-courthouse/,,32.089542,-88.221674
78,0101000020E6100000BC5D2F4D110656C03D44A33B88A14040,,40,Confederate Memorial,"Pickens County Courthouse; 100 Court Square, Carrollton, AL 35447",Carrollton,AL,South,Monument / Courthouse,Monument,Courthouse Grounds,1927,,http://www.pickenscountyal.com/living-visiting-pickens-county-2/living-visiting-pickens-county/,,33.26197,-88.094806
79,0101000020E610000036CB65A3736B55C02733DE567A134140,,41,Confederate Memorial,Cherokee County Courthouse,Centre,AL,South,Monument / Courthouse,Monument,Courthouse Grounds,1988,,http://www.waymarking.com/waymarks/WM7JCC_Confederate_Veterans_Memorial_Centre_AL,,34.152171,-85.678933
